col1,col2
800002,800002
800003,800003
800004,800004
800005,800005
800006,800006
800007,800007
800008,800008
800009,800009
800010,800010
800011,800011
800012,800012
800013,800013
800014,800014
800015,800015
800016,800016
800017,800017
800018,800018
800019,800019
800020,800020
800021,800021
800022,800022
800023,800023
800024,800024
800025,800025
800026,800026
800027,800027
800028,800028
800029,800029
800030,800030
800031,800031
800032,800032
800033,800033
800034,800034
800035,800035
800036,800036
800037,800037
800038,800038
800039,800039
800040,800040
800041,800041
800042,800042
800043,800043
800044,800044
800045,800045
800046,800046
800047,800047
800048,800048
800049,800049
800050,800050
800051,800051
800052,800052
800053,800053
800054,800054
800055,800055
800056,800056
800057,800057
800058,800058
800059,800059
800060,800060
800061,800061
800062,800062
800063,800063
800064,800064
800065,800065
800066,800066
800067,800067
800068,800068
800069,800069
800070,800070
800071,800071
800072,800072
800073,800073
800074,800074
800075,800075
800076,800076
800077,800077
800078,800078
800079,800079
800080,800080
800081,800081
800082,800082
800083,800083
800084,800084
800085,800085
800086,800086
800087,800087
800088,800088
800089,800089
800090,800090
800091,800091
800092,800092
800093,800093
800094,800094
800095,800095
800096,800096
800097,800097
800098,800098
800099,800099
800100,800100
800101,800101
800102,800102
800103,800103
800104,800104
800105,800105
800106,800106
800107,800107
800108,800108
800109,800109
800110,800110
800111,800111
800112,800112
800113,800113
800114,800114
800115,800115
800116,800116
800117,800117
800118,800118
800119,800119
800120,800120
800121,800121
800122,800122
800123,800123
800124,800124
800125,800125
800126,800126
800127,800127
800128,800128
800129,800129
800130,800130
800131,800131
800132,800132
800133,800133
800134,800134
800135,800135
800136,800136
800137,800137
800138,800138
800139,800139
800140,800140
800141,800141
800142,800142
800143,800143
800144,800144
800145,800145
800146,800146
800147,800147
800148,800148
800149,800149
800150,800150
800151,800151
800152,800152
800153,800153
800154,800154
800155,800155
800156,800156
800157,800157
800158,800158
800159,800159
800160,800160
800161,800161
800162,800162
800163,800163
800164,800164
800165,800165
800166,800166
800167,800167
800168,800168
800169,800169
800170,800170
800171,800171
800172,800172
800173,800173
800174,800174
800175,800175
800176,800176
800177,800177
800178,800178
800179,800179
800180,800180
800181,800181
800182,800182
800183,800183
800184,800184
800185,800185
800186,800186
800187,800187
800188,800188
800189,800189
800190,800190
800191,800191
800192,800192
800193,800193
800194,800194
800195,800195
800196,800196
800197,800197
800198,800198
800199,800199
800200,800200
800201,800201
800202,800202
800203,800203
800204,800204
800205,800205
800206,800206
800207,800207
800208,800208
800209,800209
800210,800210
800211,800211
800212,800212
800213,800213
800214,800214
800215,800215
800216,800216
800217,800217
800218,800218
800219,800219
800220,800220
800221,800221
800222,800222
800223,800223
800224,800224
800225,800225
800226,800226
800227,800227
800228,800228
800229,800229
800230,800230
800231,800231
800232,800232
800233,800233
800234,800234
800235,800235
800236,800236
800237,800237
800238,800238
800239,800239
800240,800240
800241,800241
800242,800242
800243,800243
800244,800244
800245,800245
800246,800246
800247,800247
800248,800248
800249,800249
800250,800250
800251,800251
800252,800252
800253,800253
800254,800254
800255,800255
800256,800256
800257,800257
800258,800258
800259,800259
800260,800260
800261,800261
800262,800262
800263,800263
800264,800264
800265,800265
800266,800266
800267,800267
800268,800268
800269,800269
800270,800270
800271,800271
800272,800272
800273,800273
800274,800274
800275,800275
800276,800276
800277,800277
800278,800278
800279,800279
800280,800280
800281,800281
800282,800282
800283,800283
800284,800284
800285,800285
800286,800286
800287,800287
800288,800288
800289,800289
800290,800290
800291,800291
800292,800292
800293,800293
800294,800294
800295,800295
800296,800296
800297,800297
800298,800298
800299,800299
800300,800300
800301,800301
800302,800302
800303,800303
800304,800304
800305,800305
800306,800306
800307,800307
800308,800308
800309,800309
800310,800310
800311,800311
800312,800312
800313,800313
800314,800314
800315,800315
800316,800316
800317,800317
800318,800318
800319,800319
800320,800320
800321,800321
800322,800322
800323,800323
800324,800324
800325,800325
800326,800326
800327,800327
800328,800328
800329,800329
800330,800330
800331,800331
800332,800332
800333,800333
800334,800334
800335,800335
800336,800336
800337,800337
800338,800338
800339,800339
800340,800340
800341,800341
800342,800342
800343,800343
800344,800344
800345,800345
800346,800346
800347,800347
800348,800348
800349,800349
800350,800350
800351,800351
800352,800352
800353,800353
800354,800354
800355,800355
800356,800356
800357,800357
800358,800358
800359,800359
800360,800360
800361,800361
800362,800362
800363,800363
800364,800364
800365,800365
800366,800366
800367,800367
800368,800368
800369,800369
800370,800370
800371,800371
800372,800372
800373,800373
800374,800374
800375,800375
800376,800376
800377,800377
800378,800378
800379,800379
800380,800380
800381,800381
800382,800382
800383,800383
800384,800384
800385,800385
800386,800386
800387,800387
800388,800388
800389,800389
800390,800390
800391,800391
800392,800392
800393,800393
800394,800394
800395,800395
800396,800396
800397,800397
800398,800398
800399,800399
800400,800400
800401,800401
800402,800402
800403,800403
800404,800404
800405,800405
800406,800406
800407,800407
800408,800408
800409,800409
800410,800410
800411,800411
800412,800412
800413,800413
800414,800414
800415,800415
800416,800416
800417,800417
800418,800418
800419,800419
800420,800420
800421,800421
800422,800422
800423,800423
800424,800424
800425,800425
800426,800426
800427,800427
800428,800428
800429,800429
800430,800430
800431,800431
800432,800432
800433,800433
800434,800434
800435,800435
800436,800436
800437,800437
800438,800438
800439,800439
800440,800440
800441,800441
800442,800442
800443,800443
800444,800444
800445,800445
800446,800446
800447,800447
800448,800448
800449,800449
800450,800450
800451,800451
800452,800452
800453,800453
800454,800454
800455,800455
800456,800456
800457,800457
800458,800458
800459,800459
800460,800460
800461,800461
800462,800462
800463,800463
800464,800464
800465,800465
800466,800466
800467,800467
800468,800468
800469,800469
800470,800470
800471,800471
800472,800472
800473,800473
800474,800474
800475,800475
800476,800476
800477,800477
800478,800478
800479,800479
800480,800480
800481,800481
800482,800482
800483,800483
800484,800484
800485,800485
800486,800486
800487,800487
800488,800488
800489,800489
800490,800490
800491,800491
800492,800492
800493,800493
800494,800494
800495,800495
800496,800496
800497,800497
800498,800498
800499,800499
800500,800500
800501,800501
800502,800502
800503,800503
800504,800504
800505,800505
800506,800506
800507,800507
800508,800508
800509,800509
800510,800510
800511,800511
800512,800512
800513,800513
800514,800514
800515,800515
800516,800516
800517,800517
800518,800518
800519,800519
800520,800520
800521,800521
800522,800522
800523,800523
800524,800524
800525,800525
800526,800526
800527,800527
800528,800528
800529,800529
800530,800530
800531,800531
800532,800532
800533,800533
800534,800534
800535,800535
800536,800536
800537,800537
800538,800538
800539,800539
800540,800540
800541,800541
800542,800542
800543,800543
800544,800544
800545,800545
800546,800546
800547,800547
800548,800548
800549,800549
800550,800550
800551,800551
800552,800552
800553,800553
800554,800554
800555,800555
800556,800556
800557,800557
800558,800558
800559,800559
800560,800560
800561,800561
800562,800562
800563,800563
800564,800564
800565,800565
800566,800566
800567,800567
800568,800568
800569,800569
800570,800570
800571,800571
800572,800572
800573,800573
800574,800574
800575,800575
800576,800576
800577,800577
800578,800578
800579,800579
800580,800580
800581,800581
800582,800582
800583,800583
800584,800584
800585,800585
800586,800586
800587,800587
800588,800588
800589,800589
800590,800590
800591,800591
800592,800592
800593,800593
800594,800594
800595,800595
800596,800596
800597,800597
800598,800598
800599,800599
800600,800600
800601,800601
800602,800602
800603,800603
800604,800604
800605,800605
800606,800606
800607,800607
800608,800608
800609,800609
800610,800610
800611,800611
800612,800612
800613,800613
800614,800614
800615,800615
800616,800616
800617,800617
800618,800618
800619,800619
800620,800620
800621,800621
800622,800622
800623,800623
800624,800624
800625,800625
800626,800626
800627,800627
800628,800628
800629,800629
800630,800630
800631,800631
800632,800632
800633,800633
800634,800634
800635,800635
800636,800636
800637,800637
800638,800638
800639,800639
800640,800640
800641,800641
800642,800642
800643,800643
800644,800644
800645,800645
800646,800646
800647,800647
800648,800648
800649,800649
800650,800650
800651,800651
800652,800652
800653,800653
800654,800654
800655,800655
800656,800656
800657,800657
800658,800658
800659,800659
800660,800660
800661,800661
800662,800662
800663,800663
800664,800664
800665,800665
800666,800666
800667,800667
800668,800668
800669,800669
800670,800670
800671,800671
800672,800672
800673,800673
800674,800674
800675,800675
800676,800676
800677,800677
800678,800678
800679,800679
800680,800680
800681,800681
800682,800682
800683,800683
800684,800684
800685,800685
800686,800686
800687,800687
800688,800688
800689,800689
800690,800690
800691,800691
800692,800692
800693,800693
800694,800694
800695,800695
800696,800696
800697,800697
800698,800698
800699,800699
800700,800700
800701,800701
800702,800702
800703,800703
800704,800704
800705,800705
800706,800706
800707,800707
800708,800708
800709,800709
800710,800710
800711,800711
800712,800712
800713,800713
800714,800714
800715,800715
800716,800716
800717,800717
800718,800718
800719,800719
800720,800720
800721,800721
800722,800722
800723,800723
800724,800724
800725,800725
800726,800726
800727,800727
800728,800728
800729,800729
800730,800730
800731,800731
800732,800732
800733,800733
800734,800734
800735,800735
800736,800736
800737,800737
800738,800738
800739,800739
800740,800740
800741,800741
800742,800742
800743,800743
800744,800744
800745,800745
800746,800746
800747,800747
800748,800748
800749,800749
800750,800750
800751,800751
800752,800752
800753,800753
800754,800754
800755,800755
800756,800756
800757,800757
800758,800758
800759,800759
800760,800760
800761,800761
800762,800762
800763,800763
800764,800764
800765,800765
800766,800766
800767,800767
800768,800768
800769,800769
800770,800770
800771,800771
800772,800772
800773,800773
800774,800774
800775,800775
800776,800776
800777,800777
800778,800778
800779,800779
800780,800780
800781,800781
800782,800782
800783,800783
800784,800784
800785,800785
800786,800786
800787,800787
800788,800788
800789,800789
800790,800790
800791,800791
800792,800792
800793,800793
800794,800794
800795,800795
800796,800796
800797,800797
800798,800798
800799,800799
800800,800800
800801,800801
800802,800802
800803,800803
800804,800804
800805,800805
800806,800806
800807,800807
800808,800808
800809,800809
800810,800810
800811,800811
800812,800812
800813,800813
800814,800814
800815,800815
800816,800816
800817,800817
800818,800818
800819,800819
800820,800820
800821,800821
800822,800822
800823,800823
800824,800824
800825,800825
800826,800826
800827,800827
800828,800828
800829,800829
800830,800830
800831,800831
800832,800832
800833,800833
800834,800834
800835,800835
800836,800836
800837,800837
800838,800838
800839,800839
800840,800840
800841,800841
800842,800842
800843,800843
800844,800844
800845,800845
800846,800846
800847,800847
800848,800848
800849,800849
800850,800850
