col1,col2
466669,466669
466670,466670
466671,466671
466672,466672
466673,466673
466674,466674
466675,466675
466676,466676
466677,466677
466678,466678
466679,466679
466680,466680
466681,466681
466682,466682
466683,466683
466684,466684
466685,466685
466686,466686
466687,466687
466688,466688
466689,466689
466690,466690
466691,466691
466692,466692
466693,466693
466694,466694
466695,466695
466696,466696
466697,466697
466698,466698
466699,466699
466700,466700
466701,466701
466702,466702
466703,466703
466704,466704
466705,466705
466706,466706
466707,466707
466708,466708
466709,466709
466710,466710
466711,466711
466712,466712
466713,466713
466714,466714
466715,466715
466716,466716
466717,466717
466718,466718
466719,466719
466720,466720
466721,466721
466722,466722
466723,466723
466724,466724
466725,466725
466726,466726
466727,466727
466728,466728
466729,466729
466730,466730
466731,466731
466732,466732
466733,466733
466734,466734
466735,466735
466736,466736
466737,466737
466738,466738
466739,466739
466740,466740
466741,466741
466742,466742
466743,466743
466744,466744
466745,466745
466746,466746
466747,466747
466748,466748
466749,466749
466750,466750
466751,466751
466752,466752
466753,466753
466754,466754
466755,466755
466756,466756
466757,466757
466758,466758
466759,466759
466760,466760
466761,466761
466762,466762
466763,466763
466764,466764
466765,466765
466766,466766
466767,466767
466768,466768
466769,466769
466770,466770
466771,466771
466772,466772
466773,466773
466774,466774
466775,466775
466776,466776
466777,466777
466778,466778
466779,466779
466780,466780
466781,466781
466782,466782
466783,466783
466784,466784
466785,466785
466786,466786
466787,466787
466788,466788
466789,466789
466790,466790
466791,466791
466792,466792
466793,466793
466794,466794
466795,466795
466796,466796
466797,466797
466798,466798
466799,466799
466800,466800
466801,466801
466802,466802
466803,466803
466804,466804
466805,466805
466806,466806
466807,466807
466808,466808
466809,466809
466810,466810
466811,466811
466812,466812
466813,466813
466814,466814
466815,466815
466816,466816
466817,466817
466818,466818
466819,466819
466820,466820
466821,466821
466822,466822
466823,466823
466824,466824
466825,466825
466826,466826
466827,466827
466828,466828
466829,466829
466830,466830
466831,466831
466832,466832
466833,466833
466834,466834
466835,466835
466836,466836
466837,466837
466838,466838
466839,466839
466840,466840
466841,466841
466842,466842
466843,466843
466844,466844
466845,466845
466846,466846
466847,466847
466848,466848
466849,466849
466850,466850
466851,466851
466852,466852
466853,466853
466854,466854
466855,466855
466856,466856
466857,466857
466858,466858
466859,466859
466860,466860
466861,466861
466862,466862
466863,466863
466864,466864
466865,466865
466866,466866
466867,466867
466868,466868
466869,466869
466870,466870
466871,466871
466872,466872
466873,466873
466874,466874
466875,466875
466876,466876
466877,466877
466878,466878
466879,466879
466880,466880
466881,466881
466882,466882
466883,466883
466884,466884
466885,466885
466886,466886
466887,466887
466888,466888
466889,466889
466890,466890
466891,466891
466892,466892
466893,466893
466894,466894
466895,466895
466896,466896
466897,466897
